empresa,anio_iso,semana_iso,invest_GADS,invest_META,impressions_GADS,impressions_META,clicks_GADS,clicks_META,conversions_GADS,conversions_META,revenue_GADS,revenue_META,sessions_GA,add_to_carts_GA,checkouts_GA,transactions_GA,transactions_GADS,transactions_META,reach_GA,user_engagement_duration_GA,bounce_rate_GA,Estacion,invest_total_paid,Fecha,evt_Black Friday,evt_Carnaval,evt_Cyber Monday,evt_Dia de la Madre,evt_Dia del Padre,evt_Hot Sale,evt_Navidad,evt_San Valentin,evt_Semana Santa,evento_especial,periodo_m,IPC Prendas de vestir y calzado,Tasa de desocupación abierta,Tasa de empleo,Variación IPC (%) General,IPC General Acumulado,Total índice de salarios,Salario real,Índice de Confianza del Consumidor,Índice Estimador Mensual de Actividad Económica,Variación Estimador Mensual de Actividad Económica,Índice Ventas en Supermercados y Shoppings,Variación Ventas en Supermercados y Shoppings,Brecha Cambiaria (%),industria,Costo_fijo_num,Ticket_promedio_num,Margen_pct,ctr_META,cpc_META,cpm_META,ctr_GADS,cpc_GADS,cpm_GADS,average_sessions_durations_GA,ticket_est_m,first_monday,tc_prom_mes,ticket_usd
ALMACÉN DE PIJAMAS,2023,40,,29.378212765957446,0.0,39537.0,0.0,1178.0,0.0,9.0,,380.41781914893613,1730.0,54.0,48.0,0.0,0.0,9.0,1616.0,5607.0,2.83,Primavera,29.378212765957446,2023-10-02,0,0,0,0,0,0,0,0,0,Ninguno,2023-10-01,11.0,5.7,45.8,8.3,11687.94,1978.4,16.93,45.11,148.3,-0.8,100.2,8.5,167.74,Indumentaria,7000000.0,89828.37,0.7,0.029794875686066216,0.02493906007296897,0.7430561946014479,,,,3.241040462427746,33790.734471968186,2023-10-02,930.1129032258065,36.32971261314144
ALMACÉN DE PIJAMAS,2023,41,,22.692304804031355,0.0,28221.0,0.0,437.0,0.0,4.0,,136.11103807390816,1189.0,46.0,74.0,0.0,0.0,4.0,1084.0,5614.0,2.79,Primavera,22.692304804031355,2023-10-09,0,0,0,1,0,0,0,0,0,Dia de la Madre,2023-10-01,11.0,5.7,45.8,8.3,11687.94,1978.4,16.93,45.11,148.3,-0.8,100.2,8.5,167.74,Indumentaria,7000000.0,89828.37,0.7,0.015484922575387123,0.05192747094744017,0.8040928671567753,,,,4.72161480235492,33790.734471968186,2023-10-09,930.1129032258065,36.32971261314144
ALMACÉN DE PIJAMAS,2023,42,,22.10361052631579,0.0,32704.0,0.0,560.0,0.0,4.0,,117.65073684210526,1193.0,72.0,38.0,0.0,0.0,4.0,1114.0,4561.0,2.67,Primavera,22.10361052631579,2023-10-16,0,0,0,0,0,0,0,0,0,Ninguno,2023-10-01,11.0,5.7,45.8,8.3,11687.94,1978.4,16.93,45.11,148.3,-0.8,100.2,8.5,167.74,Indumentaria,7000000.0,89828.37,0.7,0.017123287671232876,0.039470733082706766,0.6758687171696365,,,,3.823134953897737,33790.734471968186,2023-10-16,930.1129032258065,36.32971261314144
ALMACÉN DE PIJAMAS,2023,43,,22.131536842105263,0.0,32838.0,0.0,529.0,0.0,4.0,,136.81975789473682,1097.0,49.0,43.0,0.0,0.0,4.0,1024.0,3483.0,2.79,Primavera,22.131536842105263,2023-10-23,0,0,0,0,0,0,0,0,0,Ninguno,2023-10-01,11.0,5.7,45.8,8.3,11687.94,1978.4,16.93,45.11,148.3,-0.8,100.2,8.5,167.74,Indumentaria,7000000.0,89828.37,0.7,0.016109385468055303,0.04183655357675853,0.6739611682229509,,,,3.1750227894257064,33790.734471968186,2023-10-23,930.1129032258065,36.32971261314144
ALMACÉN DE PIJAMAS,2023,44,,23.231821052631577,0.0,30050.0,0.0,674.0,0.0,7.0,,198.50633684210527,1259.0,59.0,88.0,0.0,0.0,7.0,1161.0,5047.0,2.81,Primavera,23.231821052631577,2023-10-30,0,0,0,0,0,0,0,0,0,Ninguno,2023-10-01,11.0,5.7,45.8,8.3,11687.94,1978.4,16.93,45.11,148.3,-0.8,100.2,8.5,167.74,Indumentaria,7000000.0,89828.37,0.7,0.02242928452579035,0.0344685772294237,0.7731055258779227,,,,4.008737092930898,33790.734471968186,2023-10-30,930.1129032258065,36.32971261314144
ALMACÉN DE PIJAMAS,2023,45,,22.822318582060152,0.0,20056.0,0.0,802.0,0.0,12.0,,340.10489254171114,1534.0,76.0,120.0,0.0,0.0,12.0,1433.0,9472.0,2.75,Primavera,22.822318582060152,2023-11-06,0,0,1,0,0,0,0,0,0,Cyber Monday,2023-11-01,10.0,5.7,45.8,12.8,13184.0,2157.7,16.37,47.51,146.5,-1.2,91.2,-9.0,154.924,Indumentaria,7000000.0,89828.37,0.7,0.039988033506182685,0.028456756336733356,1.13792972587057,,,,6.17470664928292,35908.926402493504,2023-11-06,944.6666666666666,38.01227212684563
ALMACÉN DE PIJAMAS,2023,46,,21.13091919191919,0.0,29408.0,0.0,908.0,0.0,8.0,,227.0431313131313,1409.0,76.0,70.0,0.0,0.0,8.0,1314.0,6273.0,2.98,Primavera,21.13091919191919,2023-11-13,0,0,0,0,0,0,0,0,0,Ninguno,2023-11-01,10.0,5.7,45.8,12.8,13184.0,2157.7,16.37,47.51,146.5,-1.2,91.2,-9.0,154.924,Indumentaria,7000000.0,89828.37,0.7,0.0308759521218716,0.02327193743603435,0.718543226058188,,,,4.452093683463449,35908.926402493504,2023-11-13,944.6666666666666,38.01227212684563
ALMACÉN DE PIJAMAS,2023,47,,21.22070707070707,0.0,29881.0,0.0,979.0,0.0,7.0,,162.81048484848486,1426.0,72.0,62.0,0.0,0.0,7.0,1359.0,6762.0,2.83,Primavera,21.22070707070707,2023-11-20,1,0,0,0,0,0,0,0,0,Black Friday,2023-11-01,10.0,5.7,45.8,12.8,13184.0,2157.7,16.37,47.51,146.5,-1.2,91.2,-9.0,154.924,Indumentaria,7000000.0,89828.37,0.7,0.03276329440112446,0.021675900991529183,0.7101739255950963,,,,4.741935483870968,35908.926402493504,2023-11-20,944.6666666666666,38.01227212684563
ALMACÉN DE PIJAMAS,2023,48,,21.18213131313131,0.0,31995.0,0.0,893.0,0.0,4.0,,146.34560606060606,1534.0,64.0,43.0,6.0,0.0,4.0,1422.0,73575.0,2.46,Primavera,21.18213131313131,2023-11-27,0,0,0,0,0,0,0,0,0,Ninguno,2023-11-01,10.0,5.7,45.8,12.8,13184.0,2157.7,16.37,47.51,146.5,-1.2,91.2,-9.0,154.924,Indumentaria,7000000.0,89828.37,0.7,0.027910611032973903,0.023720191840012665,0.662045048074115,,,,47.96284224250326,35908.926402493504,2023-11-27,944.6666666666666,38.01227212684563
ALMACÉN DE PIJAMAS,2023,49,,22.35867218577528,0.0,27036.0,0.0,830.0,0.0,3.0,,120.25368770175987,1577.0,68.0,26.0,12.0,0.0,3.0,1463.0,101489.0,2.34,Primavera,22.35867218577528,2023-12-04,0,0,0,0,0,0,0,0,0,Ninguno,2023-12-01,17.2,5.7,45.8,25.5,16545.92,2348.8,14.2,39.81,143.4,-2.1,82.1,-10.0,77.033,Indumentaria,7000000.0,89828.37,0.7,0.0306998076638556,0.026938159259970215,0.8269963080993963,,,,64.35573874445149,42342.996590086994,2023-12-04,977.9032258064516,43.29978209773039
