empresa,anio_iso,semana_iso,Fecha,periodo_m,tc_prom_mes,cpm_GADS,invest_GADS,Índice Estimador Mensual de Actividad Económica,IPC Prendas de vestir y calzado,Tasa de desocupación abierta,Índice de Confianza del Consumidor,invest_total_paid,evt_Dia de la Madre,Brecha Cambiaria (%),revenue_GADS,evt_Carnaval,bounce_rate_GA,evt_Navidad,average_sessions_durations_GA,Variación IPC (%) General,transactions_GADS,Índice Ventas en Supermercados y Shoppings,ticket_est_m,Ticket_promedio_num,evt_San Valentin,Variación Ventas en Supermercados y Shoppings,evt_Cyber Monday,evt_Hot Sale,evt_Dia del Padre,impressions_GADS,Variación Estimador Mensual de Actividad Económica,cpm_META,Costo_fijo_num,impressions_META,Margen_pct,evt_Semana Santa,evt_Black Friday,invest_META,ticket_usd,revenue_META,Salario real,transactions_GA,Ticket_promedio_usd,Costo_fijo_usd,ticket_est_usd,invest_META_usd,invest_GADS_usd,revenue_META_usd,revenue_GADS_usd,ticket_usd_original,invest_META_pesos,invest_GADS_pesos,revenue_META_pesos,revenue_GADS_pesos
ALMACÉN DE PIJAMAS,2023,40,2023-10-02,2023-10-01,930.1129032258063,,,148.3,11.0,5.7,45.11,29.378212765957446,0,167.74,,0,2.83,0,3.241040462427746,8.3,0.0,100.2,33790.734471968186,89828.37,0,8.5,0,0,0,0.0,-0.8,0.7430561946014479,7000000.0,39537.0,0.7,0,0,29.378212765957446,96.57792047444813,380.4178191489361,16.93,0.0,96.57792047444813,7525.968057988105,36.329712613141446,29.378212765957446,,380.4178191489361,,96.57792047444812,29.378212765957446,,380.4178191489361,
ALMACÉN DE PIJAMAS,2023,41,2023-10-09,2023-10-01,930.1129032258063,,,148.3,11.0,5.7,45.11,22.692304804031355,1,167.74,,0,2.79,0,4.72161480235492,8.3,0.0,100.2,33790.734471968186,89828.37,0,8.5,0,0,0,0.0,-0.8,0.8040928671567753,7000000.0,28221.0,0.7,0,0,22.692304804031355,96.57792047444813,136.11103807390816,16.93,0.0,96.57792047444813,7525.968057988105,36.329712613141446,22.692304804031355,,136.11103807390816,,96.57792047444812,22.692304804031355,,136.11103807390816,
ALMACÉN DE PIJAMAS,2023,42,2023-10-16,2023-10-01,930.1129032258063,,,148.3,11.0,5.7,45.11,22.10361052631579,0,167.74,,0,2.67,0,3.823134953897737,8.3,0.0,100.2,33790.734471968186,89828.37,0,8.5,0,0,0,0.0,-0.8,0.6758687171696365,7000000.0,32704.0,0.7,0,0,22.10361052631579,96.57792047444813,117.65073684210526,16.93,0.0,96.57792047444813,7525.968057988105,36.329712613141446,22.10361052631579,,117.65073684210526,,96.57792047444812,22.10361052631579,,117.65073684210526,
ALMACÉN DE PIJAMAS,2023,43,2023-10-23,2023-10-01,930.1129032258063,,,148.3,11.0,5.7,45.11,22.131536842105263,0,167.74,,0,2.79,0,3.1750227894257064,8.3,0.0,100.2,33790.734471968186,89828.37,0,8.5,0,0,0,0.0,-0.8,0.6739611682229509,7000000.0,32838.0,0.7,0,0,22.131536842105263,96.57792047444813,136.81975789473682,16.93,0.0,96.57792047444813,7525.968057988105,36.329712613141446,22.131536842105263,,136.81975789473682,,96.57792047444812,22.131536842105263,,136.81975789473682,
ALMACÉN DE PIJAMAS,2023,44,2023-10-30,2023-10-01,930.1129032258063,,,148.3,11.0,5.7,45.11,23.231821052631577,0,167.74,,0,2.81,0,4.008737092930898,8.3,0.0,100.2,33790.734471968186,89828.37,0,8.5,0,0,0,0.0,-0.8,0.7731055258779227,7000000.0,30050.0,0.7,0,0,23.231821052631577,96.57792047444813,198.50633684210527,16.93,0.0,96.57792047444813,7525.968057988105,36.329712613141446,23.231821052631577,,198.50633684210527,,96.57792047444812,23.231821052631577,,198.50633684210527,
ALMACÉN DE PIJAMAS,2023,45,2023-11-06,2023-11-01,944.6666666666666,,,146.5,10.0,5.7,47.51,22.822318582060152,0,154.924,,0,2.75,0,6.17470664928292,12.8,0.0,91.2,35908.926402493504,89828.37,0,-9.0,1,0,0,0.0,-1.2,1.13792972587057,7000000.0,20056.0,0.7,0,0,22.822318582060152,95.09001764290755,340.10489254171114,16.37,0.0,95.09001764290755,7410.021171489062,38.01227212684563,22.822318582060152,,340.10489254171114,,95.09001764290755,22.822318582060152,,340.10489254171114,
ALMACÉN DE PIJAMAS,2023,46,2023-11-13,2023-11-01,944.6666666666666,,,146.5,10.0,5.7,47.51,21.13091919191919,0,154.924,,0,2.98,0,4.452093683463449,12.8,0.0,91.2,35908.926402493504,89828.37,0,-9.0,0,0,0,0.0,-1.2,0.718543226058188,7000000.0,29408.0,0.7,0,0,21.13091919191919,95.09001764290755,227.0431313131313,16.37,0.0,95.09001764290755,7410.021171489062,38.01227212684563,21.13091919191919,,227.0431313131313,,95.09001764290755,21.13091919191919,,227.0431313131313,
ALMACÉN DE PIJAMAS,2023,47,2023-11-20,2023-11-01,944.6666666666666,,,146.5,10.0,5.7,47.51,21.22070707070707,0,154.924,,0,2.83,0,4.741935483870968,12.8,0.0,91.2,35908.926402493504,89828.37,0,-9.0,0,0,0,0.0,-1.2,0.7101739255950963,7000000.0,29881.0,0.7,0,1,21.22070707070707,95.09001764290755,162.81048484848486,16.37,0.0,95.09001764290755,7410.021171489062,38.01227212684563,21.22070707070707,,162.81048484848486,,95.09001764290755,21.22070707070707,,162.81048484848486,
ALMACÉN DE PIJAMAS,2023,48,2023-11-27,2023-11-01,944.6666666666666,,,146.5,10.0,5.7,47.51,21.18213131313131,0,154.924,,0,2.46,0,47.96284224250326,12.8,0.0,91.2,35908.926402493504,89828.37,0,-9.0,0,0,0,0.0,-1.2,0.662045048074115,7000000.0,31995.0,0.7,0,0,21.18213131313131,95.09001764290755,146.34560606060606,16.37,6.0,95.09001764290755,7410.021171489062,38.01227212684563,21.18213131313131,,146.34560606060606,,95.09001764290755,21.18213131313131,,146.34560606060606,
ALMACÉN DE PIJAMAS,2023,49,2023-12-04,2023-12-01,977.9032258064516,,,143.4,17.2,5.7,39.81,22.35867218577528,0,77.033,,0,2.34,0,64.35573874445149,25.5,0.0,82.1,42342.996590086994,89828.37,0,-10.0,0,0,0,0.0,-2.1,0.8269963080993963,7000000.0,27036.0,0.7,0,0,22.35867218577528,91.85813854527461,120.25368770175989,14.2,12.0,91.85813854527461,7158.172521853868,43.29978209773039,22.35867218577528,,120.25368770175989,,91.8581385452746,22.35867218577528,,120.25368770175989,
ALMACÉN DE PIJAMAS,2023,50,2023-12-11,2023-12-01,977.9032258064516,,,143.4,17.2,5.7,39.81,21.201461583349545,0,77.033,,0,2.08,0,75.5702280912365,25.5,0.0,82.1,42342.996590086994,89828.37,0,-10.0,0,0,0,0.0,-2.1,0.9280569745392666,7000000.0,22845.0,0.7,0,0,21.201461583349545,91.85813854527461,247.5325283018868,14.2,16.0,91.85813854527461,7158.172521853868,43.29978209773039,21.201461583349545,,247.5325283018868,,91.8581385452746,21.201461583349545,,247.5325283018868,
ALMACÉN DE PIJAMAS,2023,51,2023-12-18,2023-12-01,977.9032258064516,,,143.4,17.2,5.7,39.81,19.590783018867924,0,77.033,,0,2.26,0,64.0434439178515,25.5,0.0,82.1,42342.996590086994,89828.37,0,-10.0,0,0,0,0.0,-2.1,1.1640393950604828,7000000.0,16830.0,0.7,0,0,19.590783018867924,91.85813854527461,224.4784905660377,14.2,9.0,91.85813854527461,7158.172521853868,43.29978209773039,19.590783018867924,,224.4784905660377,,91.8581385452746,19.590783018867924,,224.4784905660377,
ALMACÉN DE PIJAMAS,2023,52,2023-12-25,2023-12-01,977.9032258064516,,,143.4,17.2,5.7,39.81,19.88277358490566,0,77.033,,0,2.23,1,69.73398058252427,25.5,0.0,82.1,42342.996590086994,89828.37,0,-10.0,0,0,0,0.0,-2.1,0.8906057596822243,7000000.0,22325.0,0.7,0,0,19.88277358490566,91.85813854527461,244.7620566037736,14.2,11.0,91.85813854527461,7158.172521853868,43.29978209773039,19.88277358490566,,244.7620566037736,,91.8581385452746,19.88277358490566,,244.7620566037736,
ALMACÉN DE PIJAMAS,2024,1,2024-01-01,2024-01-01,1140.0,,,143.8,11.9,7.7,35.6,19.073900634341964,0,39.486,,0,2.27,0,69.05258033106135,20.6,0.0,81.0,52662.4610953076,89828.37,0,-1.3,0,0,0,0.0,0.3,0.6679004354066098,7000000.0,28558.0,0.7,0,0,19.073900634341964,78.79681578947368,89.20732578795462,13.71,8.0,78.79681578947368,6140.350877192983,46.19514131167333,19.073900634341964,,89.20732578795462,,78.79681578947368,19.073900634341964,,89.20732578795462,
ALMACÉN DE PIJAMAS,2024,2,2024-01-08,2024-01-01,1140.0,,,143.8,11.9,7.7,35.6,17.130327960839573,0,39.486,,0,2.04,0,68.78439425051334,20.6,0.0,81.0,52662.4610953076,89828.37,0,-1.3,0,0,0,0.0,0.3,0.6864212197803964,7000000.0,24956.0,0.7,0,0,17.130327960839573,78.79681578947368,138.02728566972365,13.71,5.0,78.79681578947368,6140.350877192983,46.19514131167333,17.130327960839573,,138.02728566972365,,78.79681578947368,17.130327960839573,,138.02728566972365,
